Slno,Code,File Name,Date,Year,Type,Language,Location,Source,Source Link
1,Sri,Hin_Sri_Gangamata_goswamini-Ses-5_Disciple_training_program_Puri-12-04-2026.mp3,12-04-2026,2026,LECTURE,Hin,Puri,Hindi,https://drive.google.com/uc?export=download&id=1V2dKhx5oOhFNcjdWpzbxX238G-0wVvel
2,QnA,Hin_QnA_Session_Ses-4_Disciple_training_program_Puri_12-04-26.mp3,12-04-26,2026,LECTURE,Hin,Puri,Hindi,https://drive.google.com/uc?export=download&id=1YMtVn2dDiyweBbCt5qSIe1gwVUkYqEIf
3,Srila,Hin_Srila_Isvara_Puri_Ses-3_Disciple_training_program_Puri_11-04-26.mp3,11-04-26,2026,LECTURE,Hin,Puri,Hindi,https://drive.google.com/uc?export=download&id=1VL48l0BOOxExcFzX4_S-pcuw0js6tNog
4,Srila,Hin_Srila_Tamal_Krishna_Gosvami_maharaj_ke_jivan_se_sikshya_Ses-2-Puri_11-04-26.mp3,11-04-26,2026,LECTURE,Hin,Puri,Hindi,https://drive.google.com/uc?export=download&id=16cVHNDlEgkWltKirSmGuAqLisvpwG-ZJ
5,Guru,Hin_Guru_tatva_Ses-1_Disciple_training_program_Puri_10-04-26.mp3,10-04-26,2026,LECTURE,Hin,Puri,Hindi,https://drive.google.com/uc?export=download&id=1yR2_tEmQt-thKsJ6-z4UG7O8fjAmj6VL
6,Gour,Hin_Gour_Purnima_festival_ISKCON_Vrindavan_03-03-26.mp3,03-03-26,2026,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1O2nU4KWD63dDaAnASm9OiTpNHBsZYKiM
7,Keshav,Hin_Keshav_kashmiri_uddhar_ISKCON_Vrindavan-21-01-26.mp3,21-01-26,2026,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1shVbFGQG4Sl88HXLpsiuYkj2ZWe652uJ
8,Gour,Hin_Gour_Purnima_festival_ISKCON_Vrindavan_19-03-11.mp3,19-03-11,2011,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1InDcplbQsJ7a4tp5sWGaaMQka8czFGB7
9,Sri,Hin_Sri_Krishna_Srimati_Radharani_ki_bhav_mai_Vrindavan_15-07-07.mp3,15-07-07,2007,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1TEyvg7LSKTCHmXjUta9XQdhYvoUmKBTL
10,Mahaprabhu,Hin_Mahaprabhu_ka_Maharastriya_brahman_par_kripa_Vrindavan_12-07-07.mp3,12-07-07,2007,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1XsT9fSdq7RoYPh-jUs9cOuj0SwyMtUl1
11,Sri,Hin_Sri_Chaitanya_mahaprabhu_ka_van_mai_pasuon_ko_Krishna_nam_pradan_Vrindavan_10-02-07.mp3,10-02-07,2007,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1ms2PPtoFmMe63UgNoqBtOq2x-5xZl2GD
12,Gour,Hin_Gour_Purnima_festival_ISKCON_Vrindavan_09-03-21.mp3,09-03-21,2021,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=18Bk1gtn2BptkCjL1YKUPspYaSWNcSqku
13,SB-10.05.19-Nanda,Hin_SB-10.05.19-Nanda_maharaj_ka_Mathura_yatra_ISKCON_Vrindavan_03-02-26.mp3,03-02-26,2026,SB,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1Stc7k5Azhc-YO66BzFPmhhg6BZ5UQKGy
14,Nityananda,Hin_Nityananda_Trayodashi_ISKCON_Vrindavan_31-01-26.mp3,31-01-26,2026,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1UOMbTrs8Ws1yix27-V9bnSNgmgA9d_A_
15,Gour,Hin_Gour_Purnima_festival_ISKCON_Vrindavan_05-03-15.mp3,05-03-15,2015,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1cR3S-R9kdLEjiUPFwETBbfIFcyj1Klvf
16,Nityananda,Hin_Nityananda_Trayodashi_ISKCON_Vrindavan_18-02-19.mp3,18-02-19,2019,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1rYfWEujXSS2R9pZTk9IEmcIYrYayYtVu
17,Gouranga,Hin_Gouranga_mahaprabhu_ke_lila_Day-1_ISKCON_Vrindavan_01-05-15.mp3,01-05-15,2015,SEMINAR,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1TBZnJh5hk4NG0kjuce-scCR6gHvSjd8w
18,Bali,Hin_Bali_Vaman_Charita_Day-3_Angul_21-12-25.mp3,21-12-25,2025,SEMINAR,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=19fGYXiWY2ezPykMRJGN9guZB0M_OOMq9
19,Bali,Hin_Bali_Vaman_Charita_Day-2_Angul_20-12-25.mp3,20-12-25,2025,SEMINAR,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=1917WhHSb9URe_xrjyzA-bvgwDXXvM99j
20,Bali,Hin_Bali_Vaman_Charita_Day-1_Angul_19-12-25.mp3,19-12-25,2025,SEMINAR,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=1DYFakNh1n-r5wwgjFKoFICjvNgq7Zm5J
21,SB-04.08.23,Hin_SB-04.08.23_Dhruva_maharaj_ko_mata_Suniti_ka_upadesh_Hyderbad_14-12-25.mp3,14-12-25,2025,SB,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1Bl8Jet0S8XwSUMG4vq-lDsWCS0_EH3vo
22,SB-03.29.11-12,Hin_SB-03.29.11-12_Bhagavan_Kapil_dvara_Suddh_bhakti_ki_vakhya_Hyderabad_13-12-25.mp3,13-12-25,2025,SB,Hin,Hyderabad,Hindi,https://drive.google.com/uc?export=download&id=1m8reHyVZWqdrOWYTnfcIVx6gmZj0Ft3S
